"id";"name";"category";"parent"
68;"Fishing Charters & Tours";1;10
69;"Hiking & Camping";1;10
70;"Nature & Wildlife";1;10
71;"Safaris";1;10
72;"Adrenaline & Extreme";1;10
73;"Climbing";1;10
74;"Lift Tickets";1;10
75;"Running Tours";1;10
76;"Shopping Tours";1;11
77;"Fashion Shows & Tours";1;11
78;"Family-friendly Shows";1;12
79;"Concerts & Special Events";1;12
80;"Theater, Shows & Musicals";1;12
81;"Dinner Packages";1;12
82;"Self-guided Tours & Rentals";1;13
83;"Segway Tours";1;13
84;"Full-day Tours";1;13
85;"Half-day Tours";1;13
86;"Bus & Minivan Tours";1;13
87;"Sustainable Tours";1;13
88;"Photography Tours";1;13
89;"Audio Guided Tours";1;13
90;"Night Tours";1;13
91;"Hop-on Hop-off Tours";1;13
92;"Vespa, Scooter & Moped Tours";1;13
93;"Skip-the-Line Tours";1;13
94;"City Tours";1;13
95;"Motorcycle Tours";1;13
96;"Theme Park Tickets & Tours";1;14
97;"Ferry Services";1;15
98;"Airport & Ground Transfers";1;15
99;"Private Transfers";1;15
100;"Bus Services";1;15
101;"Rail Services";1;15
102;"Walking Tours";1;16
103;"Bike & Mountain Bike Tours";1;16
104;"Kayaking & Canoeing";1;17
105;"Snorkeling";1;17
106;"Other Water Sports";1;17
107;"Jet Boats & Speed Boats";1;17
108;"Scuba Diving";1;17
109;"Wedding Packages";1;18
110;"Family Friendly Tours & Activities";1;19
111;"Ports of Call Tours";1;20
112;"Overnight Tours";1;21
113;"Multi-day Tours";1;21
114;"Multi-day Rail Tours";1;21
115;"Multi-day Cruises";1;21
116;"Luxury Tours";1;22
117;"Romantic Tours";1;22
118;"Private Sightseeing Tours";1;23
119;"Onsens";1;24
120;"Day Spas";1;24
121;"Thermal Spas & Hot Springs";1;24
122;"Yoga Classes";1;25
123;"Points of Interest & Landmarks";2;26
124;"Sacred & Religious Sites";2;26
125;"Historic Sites";2;26
126;"Farms";2;26
127;"Bridges";2;26
128;"Scenic Walking Areas";2;26
129;"Architectural Buildings";2;26
130;"Churches & Cathedrals";2;26
131;"Historic Walking Areas";2;26
132;"Lighthouses";2;26
133;"Monuments & Statues";2;26
134;"Scenic Drives";2;26
135;"Spas";2;27
136;"Health/Fitness Clubs & Gyms";2;27
137;"Thermal Spas";2;27
138;"Yoga & Pilates";2;27
139;"Onsen Resorts";2;27
140;"Roman Baths";2;27
141;"Beaches";2;28
142;"Islands";2;28
143;"Motorcycle Trails";2;28
144;"Nature & Wildlife Areas";2;28
145;"Forests";2;28
146;"Gardens";2;28
147;"Art Galleries";2;29
148;"Art Museums";2;29
149;"History Museums";2;29
150;"Specialty Museums";2;29
151;"Bars & Clubs";2;30
152;"Coffeehouses";2;30
153;"Bar, Club & Pub Tours";2;30
154;"Wine Bars";2;30
155;"Theme Parks";2;31
156;"Paint & Pottery Studios";2;32
157;"Room Escape Games";2;32
158;"Scavenger Hunts";2;32
159;"Game & Entertainment Centers";2;32
160;"Movie Theaters";2;32
161;"Theaters";3;0
162;"Performances";3;0
163;"Gift & Specialty Shops";4;0
164;"Art Galleries";4;0
165;"Shopping Malls";4;0
166;"Flea & Street Markets";4;0
167;"Shopping Tours";4;0
168;"Factory Outlets";4;0
169;"Department Stores";4;0
170;"Fashion Shows & Tours";4;0
171;"Taxis & Shuttles";5;0
172;"Mass Transportation Systems";5;0
173;"Bus Transportation";5;0
